X,Y,Z,channels
-0.028996003,0.082420556,-0.008826406,Fp1
0.000932613,0.087282944,-0.003309858,Fpz
0.03086905,0.082142306,-0.008890907,Fp2
-0.04841439,0.060190518,-0.049588879,AF9
-0.054198907,0.065899361,-0.012485932,AF7
-0.045207615,0.071597846,0.004503076,AF5
-0.0335949,0.07657534,0.020041257,AF3
-0.018016168,0.078932714,0.030889429,AF1
0.000749026,0.080403057,0.03414169,AFz
0.020372601,0.078736895,0.030971465,AF2
0.036277477,0.075428003,0.020272359,AF4
0.04717656,0.070711771,0.004559135,AF6
0.055680981,0.064644146,-0.012501544,AF8
0.05142749,0.058848127,-0.04923658,AF10
-0.069706591,0.037707881,-0.050947615,F9
-0.07025991,0.04030948,-0.012153301,F7
-0.06381905,0.046256412,0.015632055,F5
-0.049932623,0.052358482,0.040797495,F3
-0.027351309,0.056724985,0.058934777,F1
0.000400714,0.058817589,0.065869422,Fz
0.029652827,0.056903685,0.05862627,F2
0.051795199,0.052228586,0.039748889,F4
0.06601228,0.04470822,0.014120709,F6
0.07117891,0.038357587,-0.013201395,F8
0.070849261,0.034878863,-0.050515372,F10
-0.078649826,0.008443298,-0.050165999,FT9
-0.078905231,0.010971451,-0.011717758,FT7
-0.075599334,0.016825851,0.023088793,FC5
-0.059836998,0.022418416,0.054627959,FC3
-0.033714599,0.025822357,0.077515748,FC1
-1.01E-05,0.02719599,0.086295705,FCz
0.034079739,0.025902816,0.077833269,FC2
0.061339764,0.021954593,0.055075583,FC4
0.076678141,0.015904422,0.023069892,FC6
0.07955054,0.010248198,-0.011345729,FT8
0.07883935,0.006431069,-0.049271773,FT10
-0.081234391,-0.019931127,-0.047077033,T9
-0.084239942,-0.018285676,-0.00822643,T7
-0.081709176,-0.014374068,0.031225105,C5
-0.06605454,-0.011100477,0.06559786,C3
-0.036482594,-0.008950928,0.089310892,C1
-0.000454066,-0.008267641,0.098804342,Cz
0.036646941,-0.009388501,0.089234527,C2
0.066526143,-0.011854632,0.065648533,C4
0.082093975,-0.015377643,0.030580421,C6
0.084766678,-0.019140905,-0.007328634,T8
0.0813385,-0.022165504,-0.046031491,T10
-0.081910343,-0.049204687,-0.044086319,TP9
-0.082879315,-0.047385331,-0.005798258,TP7
-0.080414702,-0.047176986,0.033381962,CP5
-0.065232632,-0.046668354,0.06918298,CP3
-0.036209374,-0.045664994,0.092076601,CP1
-0.000885602,-0.045851852,0.100810729,CPz
0.036528926,-0.046211569,0.091617944,CP2
0.065016336,-0.04731589,0.068037374,CP4
0.079960316,-0.047752757,0.032364904,CP6
0.081949886,-0.048655818,-0.005104537,TP8
0.080748077,-0.051158941,-0.043030607,TP10
-0.069834045,-0.074521224,-0.037857099,P9
-0.073247027,-0.075365399,0.001017493,P7
-0.069068367,-0.077629875,0.032747984,P5
-0.054965403,-0.079323819,0.060822118,P3
-0.030035071,-0.07974712,0.079106201,P1
-0.001220016,-0.079679808,0.085043791,Pz
0.029815392,-0.079392394,0.078867277,P2
0.053540257,-0.078883588,0.059688318,P4
0.066861395,-0.078408544,0.03280057,P6
0.071187514,-0.075995122,0.001554979,P8
0.068518869,-0.076170927,-0.037285127,P10
-0.053163074,-0.097638346,-0.031436356,PO9
-0.055903188,-0.09921742,0.007257351,PO7
-0.049994572,-0.100900202,0.026562072,PO5
-0.038218917,-0.102085964,0.042372093,PO3
-0.020635583,-0.102702187,0.05189682,PO1
-0.001399796,-0.102666278,0.055448026,POz
0.018279669,-0.102849586,0.05159377,PO2
0.035169827,-0.102347718,0.041455713,PO4
0.047630886,-0.100599899,0.026014595,PO6
0.053483807,-0.099535517,0.007370131,PO8
0.051317503,-0.099031969,-0.030732512,PO10
-0.030603204,-0.113557359,0.013730994,O1
-0.001443447,-0.116681212,0.020228746,Oz
0.027933196,-0.113454836,0.013835089,O2
-0.029632551,-0.11356361,-0.024672055,I1
-0.001357547,-0.120176673,-0.017701077,Iz
0.027153157,-0.114162178,-0.024178053,I2
-0.043392752,0.074288101,-0.030386722,AFp9h
-0.037982918,0.07780012,-0.006996163,AFp7h
-0.027781857,0.082039436,0.001373091,AFp5h
-0.016787794,0.084542409,0.00872798,AFp3h
-0.005274127,0.085367682,0.014236212,AFp1h
0.007828141,0.085339381,0.014496242,AFp2h
0.01983908,0.084195786,0.009910846,AFp4h
0.029839369,0.081634791,0.001628635,AFp6h
0.039974872,0.077040024,-0.006597705,AFp8h
0.045493104,0.073809439,-0.029992658,AFp10h
-0.064142279,0.052190998,-0.031536878,AFF9h
-0.060390424,0.056059573,-0.000900151,AFF7h
-0.050378869,0.062713521,0.021514252,AFF5h
-0.033993761,0.067667354,0.039523459,AFF3h
-0.011259873,0.071210917,0.049694918,AFF1h
0.013853331,0.070676251,0.049936559,AFF2h
0.036299007,0.067007482,0.039339958,AFF4h
0.052237463,0.061682381,0.021076409,AFF6h
0.061918188,0.054703134,-0.001229299,AFF8h
0.065091589,0.049992385,-0.03119555,AFF10h
-0.077079797,0.023795579,-0.032048359,FFT9h
-0.073830473,0.029188726,0.0041402,FFT7h
-0.064277417,0.034992294,0.03449005,FFC5h
-0.044043749,0.040299093,0.059987209,FFC3h
-0.015401266,0.043428844,0.075747976,FFC1h
0.01722189,0.043287459,0.075713796,FFC2h
0.045692784,0.040604176,0.060164195,FFC4h
0.065901849,0.034606692,0.033976286,FFC6h
0.074761653,0.027191637,0.002734139,FFT8h
0.077337589,0.021712597,-0.03150433,FFT10h
-0.081634111,-0.005546355,-0.029688691,FTT9h
-0.081469207,-0.00099068,0.008573944,FTT7h
-0.073667827,0.003685804,0.044293081,FCC5h
-0.050896659,0.007552331,0.073447638,FCC3h
-0.018515243,0.009680111,0.090973952,FCC1h
0.017927055,0.009454079,0.090523661,FCC2h
0.051156536,0.007245451,0.074104679,FCC4h
0.074482905,0.002810745,0.044332782,FCC6h
0.081857193,-0.001926212,0.008837745,FTT8h
0.081881478,-0.007200556,-0.028464482,FTT10h
-0.087708212,-0.035446182,-0.02654525,TTP9h
-0.08486273,-0.031917612,0.012052981,TTP7h
-0.077712996,-0.029767971,0.051570357,CCP5h
-0.053743966,-0.027872431,0.08186354,CCP3h
-0.019212965,-0.026913294,0.098840977,CCP1h
0.01896788,-0.027189244,0.099019712,CCP2h
0.053557093,-0.028478384,0.081648007,CCP4h
0.077580792,-0.030573125,0.051597393,CCP6h
0.084780729,-0.033016608,0.013633713,TTP8h
0.087618533,-0.037297907,-0.02583041,TTP10h
-0.077609157,-0.062983566,-0.021201377,TPP9h
-0.07767146,-0.062215425,0.016086272,TPP7h
-0.070257188,-0.063667692,0.051714635,CPP5h
-0.048481731,-0.064128448,0.079174776,CPP3h
-0.01704989,-0.064009647,0.093143531,CPP1h
0.017559305,-0.063872762,0.093061863,CPP2h
