X,Y,Z,channels
-0.028706043,0.079481293,-0.011402681,Fp1
0.000923287,0.084423844,-0.007010167,Fpz
0.030560359,0.079209005,-0.011443302,Fp2
-0.047930246,0.056232008,-0.044523913,AF9
-0.053656918,0.063321264,-0.013671716,AF7
-0.044755539,0.069573712,0.000665363,AF5
-0.033258951,0.075110844,0.014701927,AF3
-0.017836006,0.077893768,0.024555936,AF1
0.000741536,0.079467894,0.027473114,AFz
0.020168875,0.077707826,0.024640816,AF2
0.035914702,0.074009893,0.014969931,AF4
0.046704794,0.068717829,0.00075985,AF6
0.055124171,0.062104511,-0.013623937,AF8
0.050913215,0.054946247,-0.044163231,AF10
-0.069009525,0.034392953,-0.044573474,F9
-0.069557311,0.038542837,-0.012151532,F7
-0.063180859,0.045533951,0.012120797,F5
-0.049433297,0.052603467,0.034949269,F3
-0.027077796,0.057668208,0.051403769,F1
0.000396707,0.060014591,0.057674495,Fz
0.029356298,0.057827147,0.051111616,F2
0.051277247,0.052429383,0.033992009,F4
0.065352157,0.043964486,0.010807115,F6
0.070467121,0.036607752,-0.012936208,F8
0.070140769,0.031670252,-0.044073618,F10
-0.077863328,0.006073199,-0.042498372,FT9
-0.078116179,0.010137391,-0.010363221,FT7
-0.074843341,0.017363575,0.020400146,FC5
-0.059238628,0.024232655,0.04911012,FC3
-0.033377453,0.028583354,0.069976526,FC1
-1.00E-05,0.030318057,0.077977773,FCz
0.033738941,0.028675911,0.070264393,FC2
0.060726366,0.023803877,0.049543936,FC4
0.07591136,0.016469992,0.020427467,FC6
0.078755035,0.009452302,-0.010016013,FT8
0.078050956,0.004161237,-0.04165053,FT10
-0.080422047,-0.021287228,-0.038530594,T9
-0.083397543,-0.018061331,-0.006015054,T7
-0.080892084,-0.012489759,0.029389766,C5
-0.065393995,-0.00773704,0.060815985,C3
-0.036117768,-0.004563681,0.082501541,C1
-0.000449526,-0.003464988,0.091191895,Cz
0.036280471,-0.00499113,0.082452593,C2
0.065860881,-0.008465362,0.060899124,C4
0.081273035,-0.013491715,0.028846042,C6
0.083919011,-0.0188522,-0.005220331,T8
